ICAO Code,Report Time (UTC),Report Time (VN),Temperature (°C),Dew Point (°C),Wind Direction (Degrees),Wind Speed (Knots),Visibility (Miles),Cloud Cover,Raw METAR
VVDN,2026-04-09T12:30:00.000Z,2026-04-09 19:30:00,27,24,VRB,2,6+,clear,METAR VVDN 091230Z VRB02KT CAVOK 27/24 Q1009 NOSIG
VVNB,2026-04-09T12:30:00.000Z,2026-04-09 19:30:00,29,26,140,12,6+,FEW@2600ft,METAR VVNB 091230Z 14012KT 9999 FEW026 29/26 Q1005 NOSIG
VVTS,2026-04-09T12:30:00.000Z,2026-04-09 19:30:00,29,22,160,13,6+,clear,METAR VVTS 091230Z 16013KT CAVOK 29/22 Q1010 NOSIG
VVTS,2026-04-09T12:00:00.000Z,2026-04-09 19:00:00,30,22,160,11,6+,clear,METAR VVTS 091200Z 16011KT 120V180 CAVOK 30/22 Q1009 NOSIG
VVNB,2026-04-09T12:00:00.000Z,2026-04-09 19:00:00,30,26,130,11,6+,"FEW@2200ft, SCT@2700ft",METAR VVNB 091200Z 13011KT 9999 FEW022 SCT027 30/26 Q1004 NOSIG
VVDN,2026-04-09T12:00:00.000Z,2026-04-09 19:00:00,27,24,110,5,6+,clear,METAR VVDN 091200Z 11005KT CAVOK 27/24 Q1008 NOSIG
VVDN,2026-04-09T11:30:00.000Z,2026-04-09 18:30:00,27,24,110,8,6+,clear,METAR VVDN 091130Z 11008KT CAVOK 27/24 Q1008 NOSIG
VVTS,2026-04-09T11:30:00.000Z,2026-04-09 18:30:00,30,22,160,10,6+,clear,METAR VVTS 091130Z 16010KT 130V190 CAVOK 30/22 Q1009 NOSIG
VVNB,2026-04-09T11:30:00.000Z,2026-04-09 18:30:00,30,26,120,10,5.59,SCT@2800ft,METAR VVNB 091130Z 12010KT 9000 SCT028 30/26 Q1004 NOSIG
VVDN,2026-04-09T11:00:00.000Z,2026-04-09 18:00:00,27,24,100,7,6+,clear,METAR VVDN 091100Z 10007KT CAVOK 27/24 Q1008 NOSIG
VVNB,2026-04-09T11:00:00.000Z,2026-04-09 18:00:00,31,26,120,12,5.59,SCT@2800ft,METAR VVNB 091100Z 12012KT 9000 SCT028 31/26 Q1004 NOSIG
VVTS,2026-04-09T11:00:00.000Z,2026-04-09 18:00:00,31,22,160,10,6+,clear,METAR VVTS 091100Z 16010KT 130V190 CAVOK 31/22 Q1009 NOSIG
VVDN,2026-04-09T10:30:00.000Z,2026-04-09 17:30:00,27,24,110,7,6+,clear,METAR VVDN 091030Z 11007KT CAVOK 27/24 Q1007 NOSIG
VVTS,2026-04-09T10:30:00.000Z,2026-04-09 17:30:00,31,22,150,11,6+,clear,METAR VVTS 091030Z 15011KT CAVOK 31/22 Q1009 NOSIG
VVNB,2026-04-09T10:30:00.000Z,2026-04-09 17:30:00,32,26,120,11,5.59,SCT@2900ft,METAR VVNB 091030Z 12011KT 9000 SCT029 32/26 Q1003 NOSIG
VVNB,2026-04-09T10:00:00.000Z,2026-04-09 17:00:00,32,26,120,10,6+,SCT@3100ft,METAR VVNB 091000Z 12010KT 9999 SCT031 32/26 Q1003 NOSIG
VVTS,2026-04-09T10:00:00.000Z,2026-04-09 17:00:00,32,22,160,10,6+,clear,METAR VVTS 091000Z 16010KT 120V190 CAVOK 32/22 Q1009 NOSIG
VVDN,2026-04-09T10:00:00.000Z,2026-04-09 17:00:00,28,24,110,8,6+,clear,METAR VVDN 091000Z 11008KT CAVOK 28/24 Q1007 NOSIG
VVTS,2026-04-09T09:30:00.000Z,2026-04-09 16:30:00,33,21,180,10,6+,clear,METAR VVTS 090930Z 18010KT 130V230 CAVOK 33/21 Q1009 NOSIG
VVDN,2026-04-09T09:30:00.000Z,2026-04-09 16:30:00,28,24,100,7,6+,clear,METAR VVDN 090930Z 10007KT 060V140 CAVOK 28/24 Q1007 NOSIG
VVNB,2026-04-09T09:30:00.000Z,2026-04-09 16:30:00,32,26,110,10,5.59,SCT@2900ft,METAR VVNB 090930Z 11010KT 9000 SCT029 32/26 Q1003 NOSIG
VVDN,2026-04-09T09:00:00.000Z,2026-04-09 16:00:00,29,25,110,7,6+,clear,METAR VVDN 090900Z 11007KT CAVOK 29/25 Q1007 NOSIG
VVNB,2026-04-09T09:00:00.000Z,2026-04-09 16:00:00,33,26,100,10,5.59,FEW@3100ft,METAR VVNB 090900Z 10010KT 9000 FEW031 33/26 Q1003 NOSIG
VVTS,2026-04-09T09:00:00.000Z,2026-04-09 16:00:00,34,20,160,11,6+,clear,METAR VVTS 090900Z 16011KT 130V190 CAVOK 34/20 Q1009 NOSIG
VVNB,2026-04-09T08:30:00.000Z,2026-04-09 15:30:00,33,26,110,9,4.97,FEW@3000ft,METAR VVNB 090830Z 11009KT 8000 FEW030 33/26 Q1004 NOSIG
VVDN,2026-04-09T08:30:00.000Z,2026-04-09 15:30:00,29,24,130,8,6+,clear,METAR VVDN 090830Z 13008KT CAVOK 29/24 Q1007 NOSIG
VVTS,2026-04-09T08:30:00.000Z,2026-04-09 15:30:00,35,20,180,10,6+,clear,METAR VVTS 090830Z 18010KT 140V210 CAVOK 35/20 Q1009 NOSIG
VVNB,2026-04-09T08:00:00.000Z,2026-04-09 15:00:00,33,26,100,8,4.35,"FEW@2400ft, SCT@2800ft",METAR VVNB 090800Z 10008KT 060V130 7000 FEW024 SCT028 33/26 Q1004 NOSIG
VVDN,2026-04-09T08:00:00.000Z,2026-04-09 15:00:00,30,25,110,8,6+,clear,METAR VVDN 090800Z 11008KT CAVOK 30/25 Q1007 NOSIG
VVTS,2026-04-09T08:00:00.000Z,2026-04-09 15:00:00,34,20,190,10,6+,clear,METAR VVTS 090800Z 19010KT 150V220 CAVOK 34/20 Q1009 NOSIG
VVNB,2026-04-09T07:30:00.000Z,2026-04-09 14:30:00,33,26,100,6,4.35,SCT@2700ft,METAR VVNB 090730Z 10006KT 070V140 7000 SCT027 33/26 Q1005 NOSIG
VVTS,2026-04-09T07:30:00.000Z,2026-04-09 14:30:00,34,22,180,8,6+,SCT@2900ft,METAR VVTS 090730Z 18008KT 120V240 9999 SCT029 34/22 Q1009 NOSIG
VVDN,2026-04-09T07:30:00.000Z,2026-04-09 14:30:00,30,24,110,7,6+,clear,METAR VVDN 090730Z 11007KT CAVOK 30/24 Q1007 NOSIG
VVTS,2026-04-09T07:00:00.000Z,2026-04-09 14:00:00,34,22,150,7,6+,FEW@2900ft,METAR VVTS 090700Z 15007KT 090V220 9999 FEW029 34/22 Q1009 NOSIG
VVDN,2026-04-09T07:00:00.000Z,2026-04-09 14:00:00,31,24,110,8,6+,clear,METAR VVDN 090700Z 11008KT CAVOK 31/24 Q1007 NOSIG
VVNB,2026-04-09T07:00:00.000Z,2026-04-09 14:00:00,33,26,100,5,3.73,"FEW@2400ft, SCT@2900ft",METAR VVNB 090700Z 10005KT 040V160 6000 FEW024 SCT029 33/26 Q1005 NOSIG
VVTS,2026-04-09T06:30:00.000Z,2026-04-09 13:30:00,34,22,160,9,6+,SCT@2300ft,METAR VVTS 090630Z 16009KT 110V210 9999 SCT023 34/22 Q1010 NOSIG
VVDN,2026-04-09T06:30:00.000Z,2026-04-09 13:30:00,31,24,120,10,6+,clear,METAR VVDN 090630Z 12010KT CAVOK 31/24 Q1008 NOSIG
VVNB,2026-04-09T06:30:00.000Z,2026-04-09 13:30:00,33,26,90,6,3.73,"SCT@2500ft, BKN@3100ft",METAR VVNB 090630Z 09006KT 060V130 6000 SCT025 BKN031 33/26 Q1006 NOSIG
VVNB,2026-04-09T06:00:00.000Z,2026-04-09 13:00:00,32,26,60,7,3.73,"BKN@2500ft, BKN@3200ft",METAR VVNB 090600Z 06007KT 020V090 6000 BKN025 BKN032 32/26 Q1006 NOSIG
VVTS,2026-04-09T06:00:00.000Z,2026-04-09 13:00:00,34,23,200,8,6+,SCT@2300ft,METAR VVTS 090600Z 20008KT 150V240 9999 SCT023 34/23 Q1010 NOSIG
VVDN,2026-04-09T06:00:00.000Z,2026-04-09 13:00:00,31,24,120,11,6+,clear,METAR VVDN 090600Z 12011KT CAVOK 31/24 Q1008 NOSIG
VVTS,2026-04-09T05:30:00.000Z,2026-04-09 12:30:00,34,22,140,10,6+,SCT@4900ft,METAR VVTS 090530Z 14010KT 9999 SCT049 34/22 Q1011 NOSIG
VVDN,2026-04-09T05:30:00.000Z,2026-04-09 12:30:00,31,24,120,10,6+,clear,METAR VVDN 090530Z 12010KT CAVOK 31/24 Q1008 NOSIG
VVNB,2026-04-09T05:30:00.000Z,2026-04-09 12:30:00,32,26,70,5,3.73,"BKN@2500ft, BKN@3100ft",METAR VVNB 090530Z 07005KT 350V120 6000 BKN025 BKN031 32/26 Q1007 NOSIG
VVNB,2026-04-09T05:00:00.000Z,2026-04-09 12:00:00,32,26,90,7,3.73,"BKN@2400ft, BKN@3100ft",METAR VVNB 090500Z 09007KT 050V140 6000 BKN024 BKN031 32/26 Q1007 NOSIG
VVDN,2026-04-09T05:00:00.000Z,2026-04-09 12:00:00,31,25,130,10,6+,clear,METAR VVDN 090500Z 13010KT CAVOK 31/25 Q1009 NOSIG
VVTS,2026-04-09T05:00:00.000Z,2026-04-09 12:00:00,34,22,190,10,6+,SCT@4500ft,METAR VVTS 090500Z 19010KT 9999 SCT045 34/22 Q1011 NOSIG
VVNB,2026-04-09T04:30:00.000Z,2026-04-09 11:30:00,32,26,80,6,3.73,"BKN@2100ft, BKN@2900ft",METAR VVNB 090430Z 08006KT 030V120 6000 BKN021 BKN029 32/26 Q1008 NOSIG
VVTS,2026-04-09T04:30:00.000Z,2026-04-09 11:30:00,33,22,160,6,6+,SCT@4400ft,METAR VVTS 090430Z 16006KT 120V290 9999 SCT044 33/22 Q1012 NOSIG
VVDN,2026-04-09T04:30:00.000Z,2026-04-09 11:30:00,31,25,120,9,6+,clear,METAR VVDN 090430Z 12009KT CAVOK 31/25 Q1009 NOSIG
VVNB,2026-04-09T04:00:00.000Z,2026-04-09 11:00:00,30,25,130,5,4.35,"FEW@1900ft, BKN@2200ft, OVC@2500ft",METAR VVNB 090400Z 13005KT 100V180 7000 FEW019 BKN022 OVC025 30/25 Q1008 NOSIG
VVTS,2026-04-09T04:00:00.000Z,2026-04-09 11:00:00,32,22,160,7,6+,SCT@3400ft,METAR VVTS 090400Z 16007KT 110V240 9999 SCT034 32/22 Q1012 NOSIG
VVDN,2026-04-09T04:00:00.000Z,2026-04-09 11:00:00,31,25,110,6,6+,clear,METAR VVDN 090400Z 11006KT CAVOK 31/25 Q1010 NOSIG
VVNB,2026-04-09T03:30:00.000Z,2026-04-09 10:30:00,30,25,120,5,3.73,"BKN@1800ft, OVC@2400ft",METAR VVNB 090330Z 12005KT 040V180 6000 BKN018 OVC024 30/25 Q1008 NOSIG
VVDN,2026-04-09T03:30:00.000Z,2026-04-09 10:30:00,32,25,120,5,6+,clear,METAR VVDN 090330Z 12005KT CAVOK 32/25 Q1010 NOSIG
VVTS,2026-04-09T03:30:00.000Z,2026-04-09 10:30:00,32,23,140,7,6+,SCT@3700ft,METAR VVTS 090330Z 14007KT 030V190 9999 SCT037 32/23 Q1012 NOSIG
VVDN,2026-04-09T03:00:00.000Z,2026-04-09 10:00:00,32,25,200,4,6+,clear,METAR VVDN 090300Z 20004KT 170V240 CAVOK 32/25 Q1010 NOSIG
VVNB,2026-04-09T03:00:00.000Z,2026-04-09 10:00:00,29,26,130,6,3.73,"SCT@1600ft, SCT@1900ft, OVC@2300ft",METAR VVNB 090300Z 13006KT 090V160 6000 SCT016 SCT019 OVC023 29/26 Q1009 NOSIG
VVTS,2026-04-09T03:00:00.000Z,2026-04-09 10:00:00,32,24,130,7,6+,BKN@3000ft,METAR VVTS 090300Z 13007KT 050V180 9999 BKN030 32/24 Q1012 NOSIG
VVTS,2026-04-09T02:30:00.000Z,2026-04-09 09:30:00,31,24,140,6,6+,SCT@2600ft,METAR VVTS 090230Z 14006KT 110V200 9999 SCT026 31/24 Q1012 NOSIG
VVNB,2026-04-09T02:30:00.000Z,2026-04-09 09:30:00,29,25,120,5,4.35,"SCT@1500ft, OVC@2400ft",METAR VVNB 090230Z 12005KT 100V160 7000 SCT015 OVC024 29/25 Q1009 NOSIG
VVDN,2026-04-09T02:30:00.000Z,2026-04-09 09:30:00,31,24,190,4,6+,clear,METAR VVDN 090230Z 19004KT 150V230 CAVOK 31/24 Q1010 NOSIG
VVNB,2026-04-09T02:00:00.000Z,2026-04-09 09:00:00,28,25,130,6,3.73,"SCT@1400ft, SCT@1600ft, OVC@2200ft",METAR VVNB 090200Z 13006KT 6000 SCT014 SCT016 OVC022 28/25 Q1009 NOSIG
VVDN,2026-04-09T02:00:00.000Z,2026-04-09 09:00:00,30,24,190,4,6+,FEW@2000ft,METAR VVDN 090200Z 19004KT 140V240 9999 FEW020 30/24 Q1010 NOSIG
VVTS,2026-04-09T02:00:00.000Z,2026-04-09 09:00:00,31,23,150,7,6+,SCT@2600ft,METAR VVTS 090200Z 15007KT 100V190 9999 SCT026 31/23 Q1012 NOSIG
VVTS,2026-04-09T01:30:00.000Z,2026-04-09 08:30:00,31,24,140,7,6+,SCT@2000ft,METAR VVTS 090130Z 14007KT 110V170 9999 SCT020 31/24 Q1012 NOSIG
VVNB,2026-04-09T01:30:00.000Z,2026-04-09 08:30:00,28,25,120,7,3.73,"FEW@1300ft, OVC@2200ft",METAR VVNB 090130Z 12007KT 6000 FEW013 OVC022 28/25 Q1008 NOSIG
VVDN,2026-04-09T01:30:00.000Z,2026-04-09 08:30:00,29,25,190,4,6+,FEW@2000ft,METAR VVDN 090130Z 19004KT 9999 FEW020 29/25 Q1010 NOSIG
VVTS,2026-04-09T01:00:00.000Z,2026-04-09 08:00:00,30,24,160,9,6+,SCT@1800ft,METAR VVTS 090100Z 16009KT 140V200 9999 SCT018 30/24 Q1012 NOSIG
VVDN,2026-04-09T01:00:00.000Z,2026-04-09 08:00:00,28,24,160,4,6+,FEW@2000ft,METAR VVDN 090100Z 16004KT 130V200 9999 FEW020 28/24 Q1010 NOSIG
VVNB,2026-04-09T01:00:00.000Z,2026-04-09 08:00:00,27,25,110,7,3.73,"FEW@1300ft, OVC@2200ft",METAR VVNB 090100Z 11007KT 6000 FEW013 OVC022 27/25 Q1008 NOSIG
VVTS,2026-04-09T00:30:00.000Z,2026-04-09 07:30:00,29,25,150,7,6+,SCT@1900ft,METAR VVTS 090030Z 15007KT 110V200 9999 SCT019 29/25 Q1012 NOSIG
VVNB,2026-04-09T00:30:00.000Z,2026-04-09 07:30:00,27,25,100,5,3.11,"SCT@1200ft, OVC@1800ft",METAR VVNB 090030Z 10005KT 5000 BR SCT012 OVC018 27/25 Q1008 NOSIG
VVDN,2026-04-09T00:30:00.000Z,2026-04-09 07:30:00,27,24,160,4,4.97,FEW@2000ft,METAR VVDN 090030Z 16004KT 8000 FEW020 27/24 Q1010 NOSIG
VVDN,2026-04-09T00:00:00.000Z,2026-04-09 07:00:00,26,25,170,5,4.35,FEW@1200ft,METAR VVDN 090000Z 17005KT 7000 FEW012 26/25 Q1010 NOSIG
VVTS,2026-04-09T00:00:00.000Z,2026-04-09 07:00:00,28,25,150,7,6+,SCT@1800ft,METAR VVTS 090000Z 15007KT 120V180 9999 SCT018 28/25 Q1011 NOSIG
VVNB,2026-04-09T00:00:00.000Z,2026-04-09 07:00:00,27,25,90,4,3.11,"BKN@1200ft, OVC@1600ft",METAR VVNB 090000Z 09004KT 5000 BR BKN012 OVC016 27/25 Q1008 NOSIG
VVTS,2026-04-08T23:30:00.000Z,2026-04-09 06:30:00,28,25,160,8,6+,FEW@1700ft,METAR VVTS 082330Z 16008KT 9999 FEW017 28/25 Q1011 NOSIG
VVNB,2026-04-08T23:30:00.000Z,2026-04-09 06:30:00,27,25,90,4,3.11,OVC@1100ft,METAR VVNB 082330Z 09004KT 040V120 5000 BR OVC011 27/25 Q1007 NOSIG
VVDN,2026-04-08T23:30:00.000Z,2026-04-09 06:30:00,26,25,170,3,3.73,FEW@1200ft,METAR VVDN 082330Z 17003KT 6000 FEW012 26/25 Q1009 NOSIG
VVDN,2026-04-08T23:00:00.000Z,2026-04-09 06:00:00,26,25,160,3,4.35,FEW@800ft,METAR VVDN 082300Z 16003KT 7000 FEW008 26/25 Q1009 NOSIG
VVNB,2026-04-08T23:00:00.000Z,2026-04-09 06:00:00,27,25,130,8,3.11,"FEW@1200ft, OVC@1400ft",METAR VVNB 082300Z 13008KT 5000 BR FEW012 OVC014 27/25 Q1006 NOSIG
VVTS,2026-04-08T23:00:00.000Z,2026-04-09 06:00:00,28,25,160,8,6+,SCT@1700ft,METAR VVTS 082300Z 16008KT 130V210 9999 SCT017 28/25 Q1010 NOSIG
VVTS,2026-04-08T22:30:00.000Z,2026-04-09 05:30:00,28,25,170,7,6+,BKN@1700ft,METAR VVTS 082230Z 17007KT 9999 BKN017 28/25 Q1010 NOSIG
VVNB,2026-04-08T22:30:00.000Z,2026-04-09 05:30:00,27,25,120,8,4.35,OVC@1100ft,METAR VVNB 082230Z 12008KT 7000 OVC011 27/25 Q1006 NOSIG
VVDN,2026-04-08T22:30:00.000Z,2026-04-09 05:30:00,26,25,160,2,4.35,FEW@700ft,METAR VVDN 082230Z 16002KT 7000 FEW007 26/25 Q1008 NOSIG
VVDN,2026-04-08T22:00:00.000Z,2026-04-09 05:00:00,26,24,140,3,4.35,FEW@1000ft,METAR VVDN 082200Z 14003KT 7000 FEW010 26/24 Q1008 NOSIG
VVTS,2026-04-08T22:00:00.000Z,2026-04-09 05:00:00,28,25,170,8,6+,SCT@1700ft,METAR VVTS 082200Z 17008KT 9999 SCT017 28/25 Q1010 NOSIG
VVNB,2026-04-08T22:00:00.000Z,2026-04-09 05:00:00,27,25,110,7,4.35,OVC@1100ft,METAR VVNB 082200Z 11007KT 7000 OVC011 27/25 Q1006 NOSIG
VVNB,2026-04-08T21:30:00.000Z,2026-04-09 04:30:00,27,25,120,9,4.35,OVC@1200ft,METAR VVNB 082130Z 12009KT 7000 OVC012 27/25 Q1005 NOSIG
VVDN,2026-04-08T21:30:00.000Z,2026-04-09 04:30:00,26,25,150,5,3.73,FEW@700ft,METAR VVDN 082130Z 15005KT 6000 FEW007 26/25 Q1008 NOSIG
VVTS,2026-04-08T21:30:00.000Z,2026-04-09 04:30:00,28,25,160,7,6+,FEW@2000ft,METAR VVTS 082130Z 16007KT 130V190 9999 FEW020 28/25 Q1009 NOSIG
VVNB,2026-04-08T21:00:00.000Z,2026-04-09 04:00:00,27,25,120,8,4.35,OVC@1200ft,METAR VVNB 082100Z 12008KT 7000 OVC012 27/25 Q1005 NOSIG
VVTS,2026-04-08T21:00:00.000Z,2026-04-09 04:00:00,28,25,160,6,6+,FEW@1800ft,METAR VVTS 082100Z 16006KT 110V190 9999 FEW018 28/25 Q1009 NOSIG
VVDN,2026-04-08T21:00:00.000Z,2026-04-09 04:00:00,26,25,190,3,3.11,"FEW@700ft, SCT@9000ft",METAR VVDN 082100Z 19003KT 5000 BR FEW007 SCT090 26/25 Q1008 NOSIG
VVDN,2026-04-08T20:30:00.000Z,2026-04-09 03:30:00,26,25,VRB,1,3.11,"FEW@900ft, SCT@9000ft",METAR VVDN 082030Z VRB01KT 5000 BR FEW009 SCT090 26/25 Q1007 NOSIG
VVNB,2026-04-08T20:30:00.000Z,2026-04-09 03:30:00,27,25,120,8,4.35,OVC@1200ft,METAR VVNB 082030Z 12008KT 7000 OVC012 27/25 Q1005 NOSIG
VVTS,2026-04-08T20:30:00.000Z,2026-04-09 03:30:00,28,25,150,8,6+,FEW@1800ft,METAR VVTS 082030Z 15008KT 9999 FEW018 28/25 Q1009 NOSIG
VVDN,2026-04-08T20:00:00.000Z,2026-04-09 03:00:00,26,25,200,4,3.11,"FEW@800ft, SCT@10000ft",METAR VVDN 082000Z 20004KT 5000 BR FEW008 SCT100 26/25 Q1007 NOSIG
VVTS,2026-04-08T20:00:00.000Z,2026-04-09 03:00:00,28,25,160,8,6+,"FEW@1900ft, SCT@5200ft",METAR VVTS 082000Z 16008KT 9999 FEW019 SCT052 28/25 Q1009 NOSIG
VVNB,2026-04-08T20:00:00.000Z,2026-04-09 03:00:00,27,25,130,9,4.35,"BKN@1100ft, OVC@1300ft",METAR VVNB 082000Z 13009KT 7000 BKN011 OVC013 27/25 Q1005 NOSIG
VVTS,2026-04-08T19:30:00.000Z,2026-04-09 02:30:00,28,25,150,9,6+,SCT@1900ft,METAR VVTS 081930Z 15009KT 120V190 9999 SCT019 28/25 Q1009 NOSIG
VVDN,2026-04-08T19:30:00.000Z,2026-04-09 02:30:00,26,25,180,2,3.11,"FEW@2000ft, SCT@10000ft",METAR VVDN 081930Z 18002KT 5000 BR FEW020 SCT100 26/25 Q1008 NOSIG
VVNB,2026-04-08T19:30:00.000Z,2026-04-09 02:30:00,27,25,120,8,4.35,OVC@1200ft,METAR VVNB 081930Z 12008KT 7000 OVC012 27/25 Q1006 NOSIG
VVDN,2026-04-08T19:00:00.000Z,2026-04-09 02:00:00,26,24,230,1,4.35,FEW@2000ft,METAR VVDN 081900Z 23001KT 7000 FEW020 26/24 Q1008 NOSIG
VVTS,2026-04-08T19:00:00.000Z,2026-04-09 02:00:00,28,25,160,10,6+,FEW@1800ft,METAR VVTS 081900Z 16010KT 9999 FEW018 28/25 Q1009 NOSIG
VVNB,2026-04-08T19:00:00.000Z,2026-04-09 02:00:00,27,25,120,7,4.97,"BKN@1200ft, OVC@1700ft",METAR VVNB 081900Z 12007KT 8000 BKN012 OVC017 27/25 Q1006 NOSIG
VVNB,2026-04-08T18:30:00.000Z,2026-04-09 01:30:00,27,25,110,6,4.97,OVC@1200ft,METAR VVNB 081830Z 11006KT 090V150 8000 OVC012 27/25 Q1006 NOSIG
VVTS,2026-04-08T18:30:00.000Z,2026-04-09 01:30:00,28,25,160,8,6+,FEW@1800ft,METAR VVTS 081830Z 16008KT 9999 FEW018 28/25 Q1009 NOSIG
VVDN,2026-04-08T18:30:00.000Z,2026-04-09 01:30:00,26,24,240,1,4.97,FEW@1500ft,METAR VVDN 081830Z 24001KT 8000 FEW015 26/24 Q1008 NOSIG
VVTS,2026-04-08T18:00:00.000Z,2026-04-09 01:00:00,28,25,140,11,6+,SCT@1700ft,METAR VVTS 081800Z 14011KT 9999 SCT017 28/25 Q1009 NOSIG
VVNB,2026-04-08T18:00:00.000Z,2026-04-09 01:00:00,27,25,100,5,4.97,OVC@1100ft,METAR VVNB 081800Z 10005KT 8000 OVC011 27/25 Q1006 NOSIG
VVDN,2026-04-08T18:00:00.000Z,2026-04-09 01:00:00,26,24,250,1,4.97,"FEW@1200ft, SCT@7000ft",METAR VVDN 081800Z 25001KT 8000 FEW012 SCT070 26/24 Q1008 NOSIG
VVDN,2026-04-08T17:30:00.000Z,2026-04-09 00:30:00,27,24,0,0,4.97,"FEW@1200ft, SCT@7000ft",METAR VVDN 081730Z 00000KT 8000 FEW012 SCT070 27/24 Q1008 NOSIG
VVTS,2026-04-08T17:30:00.000Z,2026-04-09 00:30:00,29,26,140,8,6+,SCT@1800ft,METAR VVTS 081730Z 14008KT 110V170 9999 SCT018 29/26 Q1010 NOSIG
VVNB,2026-04-08T17:30:00.000Z,2026-04-09 00:30:00,27,25,110,9,4.97,OVC@1200ft,METAR VVNB 081730Z 11009KT 8000 OVC012 27/25 Q1006 NOSIG
VVDN,2026-04-08T17:00:00.000Z,2026-04-09 00:00:00,27,24,130,1,4.97,"FEW@1000ft, SCT@7000ft",METAR VVDN 081700Z 13001KT 8000 FEW010 SCT070 27/24 Q1009 NOSIG
VVNB,2026-04-08T17:00:00.000Z,2026-04-09 00:00:00,27,25,110,8,4.35,"BKN@1200ft, BKN@1400ft, OVC@2200ft",METAR VVNB 081700Z 11008KT 7000 BKN012 BKN014 OVC022 27/25 Q1006 NOSIG
VVTS,2026-04-08T17:00:00.000Z,2026-04-09 00:00:00,29,25,160,10,6+,FEW@1800ft,METAR VVTS 081700Z 16010KT 9999 FEW018 29/25 Q1010 NOSIG
VVTS,2026-04-08T16:30:00.000Z,2026-04-08 23:30:00,29,26,140,8,6+,FEW@1700ft,METAR VVTS 081630Z 14008KT 120V180 9999 FEW017 29/26 Q1011 NOSIG
VVNB,2026-04-08T16:30:00.000Z,2026-04-08 23:30:00,27,25,90,8,4.35,"SCT@1200ft, BKN@2000ft",METAR VVNB 081630Z 09008KT 7000 SCT012 BKN020 27/25 Q1006 NOSIG
VVDN,2026-04-08T16:30:00.000Z,2026-04-08 23:30:00,26,24,VRB,1,4.97,"FEW@1000ft, SCT@6500ft",METAR VVDN 081630Z VRB01KT 8000 FEW010 SCT065 26/24 Q1009 NOSIG
